pid,still_employed,state,IP.Qualification,apply.time,first.accept.time,date.diff,first.shift,fifth.shift,day.diff.first_fifth,termination_date,IP.Application.Source,Prior.Work.History..years.,Prior.Work.History..distinct.jobs.
4041,Yes,MA,CNA,4/27/17,10/27/17,183,10/29/17,1/5/18,68,11/22/20,Unknown,2,1
4072,Yes,MA,CNA,4/29/17,8/24/17,117,8/27/17,9/3/17,7,,Unknown,2,1
4077,Yes,NH,RN,4/29/17,10/29/19,913,10/30/19,11/13/19,14,,Unknown,3,2
4105,Yes,MA,CNA,5/1/17,5/2/17,1,5/11/17,5/21/17,10,2/13/20,Unknown,3,1
4122,Yes,NH,LPN,5/2/17,5/31/19,759,6/10/19,7/5/19,25,,Unknown,0,1
4223,Yes,MA,CNA,5/5/17,11/16/18,560,11/18/18,12/9/18,21,,Unknown,3,1
4268,Yes,MA,RN,5/6/17,6/2/17,27,6/4/17,7/3/17,29,2/13/20,Unknown,4,1
4297,Yes,MA,CNA,5/7/17,5/16/19,739,5/26/19,6/22/19,27,,Unknown,7,2
4344,Yes,RI,RN,5/8/17,8/29/20,1209,9/30/20,10/26/20,26,,Unknown,3,1
4410,Yes,MA,LPN,5/9/17,8/1/19,814,8/3/19,8/12/19,9,11/22/20,Unknown,2,1
4421,Yes,NH,LPN,5/10/17,5/24/17,14,5/25/17,6/10/17,16,11/22/20,Unknown,,0
4485,Yes,MA,CNA,5/11/17,6/2/17,22,6/4/17,7/2/17,28,,Unknown,6,4
4733,Yes,MA,CNA,5/19/17,9/28/18,497,10/7/18,10/25/18,18,2/13/20,Unknown,6,2
4736,Yes,MA,LPN,5/19/17,8/20/19,823,8/31/19,9/13/19,13,,Unknown,1,1
4785,Yes,MA,RN,5/21/17,8/1/17,72,8/3/17,8/22/17,19,2/21/20,Unknown,2,1
4788,Yes,MA,RN,5/21/17,5/23/17,2,6/3/17,6/25/17,22,,Unknown,1,1
4818,Yes,MA,LPN,5/22/17,6/1/17,10,6/2/17,8/18/17,77,2/13/20,Unknown,2,1
4853,Yes,MA,RN,5/23/17,5/27/17,4,5/28/17,6/10/17,13,5/22/20,Unknown,1,1
4904,Yes,MA,RN,5/25/17,11/3/17,162,11/12/17,5/26/19,560,,Unknown,8,1
5128,Yes,MA,RN,5/31/17,6/30/17,30,7/8/17,7/30/17,22,2/13/20,Unknown,,0
5351,Yes,MA,LPN,6/4/17,11/28/17,177,12/8/17,2/1/18,55,,Unknown,5,1
5392,Yes,MA,LPN,6/5/17,6/8/17,3,6/12/17,8/12/17,61,2/13/20,Unknown,3,1
5455,Yes,MA,LPN,6/6/17,6/10/17,4,6/11/17,7/10/17,29,2/13/20,Unknown,2,1
5584,Yes,MA,CNA,6/8/17,3/12/18,277,3/19/18,11/17/19,608,,Unknown,1,2
5621,Yes,MA,CNA,6/9/17,6/23/17,14,6/30/17,11/16/17,139,,Unknown,1,1
5788,Yes,MA,CNA,6/14/17,6/30/17,16,7/1/17,12/25/19,907,11/22/20,Unknown,2,1
5820,Yes,MA,RN,6/15/17,8/10/17,56,8/11/17,8/17/17,6,,Unknown,5,1
5826,Yes,RI,LPN,6/16/17,10/10/17,116,10/14/17,10/10/20,1092,2/13/20,Unknown,1,1
5835,Yes,MA,LPN,6/16/17,7/6/17,20,7/17/17,11/23/20,1225,2/13/20,Unknown,3,1
5848,Yes,MA,LPN,6/17/17,1/16/18,213,1/16/18,1/22/18,6,,Unknown,2,1
5936,Yes,MA,LPN,6/20/17,8/30/18,436,12/31/18,3/31/19,90,,Unknown,12,1
5982,Yes,MA,CNA,6/21/17,10/22/18,488,10/24/18,11/3/18,10,,Unknown,6,1
6078,Yes,MA,LPN,6/23/17,6/30/17,7,7/2/17,8/10/17,39,,Unknown,1,1
6080,Yes,MA,CNA,6/23/17,10/30/19,859,12/5/19,12/18/19,13,,Unknown,2,1
6202,Yes,RI,CNA,6/26/17,11/9/17,136,4/29/18,5/20/18,21,,Unknown,3,1
6204,Yes,MA,CNA,6/26/17,6/27/17,1,7/2/17,7/9/17,7,,Unknown,8,2
6326,Yes,RI,CNA,6/27/17,9/1/17,66,9/2/17,10/24/20,1148,2/13/20,Unknown,1,1
6358,Yes,RI,CNA,6/28/17,7/1/19,733,7/6/19,7/19/19,13,11/22/20,Unknown,3,1
6367,Yes,MA,CNA,6/28/17,10/13/17,107,10/15/17,10/8/18,358,,Unknown,2,1
6503,Yes,MA,LPN,6/30/17,4/24/20,1029,4/29/20,7/14/20,76,,Unknown,7,2
6520,Yes,MA,RN,7/1/17,7/13/17,12,7/15/17,7/22/17,7,2/13/20,Unknown,1,1
6532,Yes,MA,LPN,7/1/17,11/21/19,873,11/28/19,12/8/19,10,,Unknown,3,1
6575,Yes,MA,RN,7/2/17,11/15/20,1232,11/26/20,12/1/20,5,,Unknown,3,1
6588,Yes,MA,CNA,7/2/17,10/18/17,108,10/22/17,11/13/17,22,,Unknown,1,1
6664,Yes,MA,LPN,7/4/17,12/3/19,882,12/5/19,12/11/19,6,11/22/20,Unknown,7,1
6673,Yes,RI,CNA,7/4/17,11/25/17,144,11/27/17,12/17/17,20,,Unknown,2,1
6798,Yes,MA,CNA,7/6/17,11/1/17,118,11/6/17,11/12/17,6,,Unknown,7,1
6811,Yes,MA,LPN,7/7/17,7/31/17,24,8/6/17,8/27/17,21,,Unknown,1,1
6826,Yes,MA,LPN,7/7/17,8/11/17,35,8/12/17,9/3/17,22,,Unknown,3,1
6878,Yes,MA,CNA,7/8/17,7/22/17,14,7/23/17,9/3/17,42,2/13/20,Unknown,4,2
6909,Yes,MA,CNA,7/9/17,9/26/17,79,9/29/17,10/28/17,29,11/22/20,Unknown,1,1
6946,Yes,MA,RN,7/10/17,7/11/18,366,7/16/18,8/16/18,31,,Unknown,2,1
6970,Yes,MA,LPN,7/10/17,4/19/18,283,5/13/18,8/1/18,80,11/22/20,Unknown,3,1
7024,Yes,MA,LPN,7/11/17,9/8/18,424,9/11/18,10/19/19,403,,Unknown,13,2
7032,Yes,MA,LPN,7/11/17,12/11/18,518,8/17/19,1/10/20,146,,Unknown,12,1
7053,Yes,MA,LPN,7/12/17,12/4/19,875,12/10/19,1/3/20,24,,Unknown,2,1
7082,Yes,MA,LPN,7/12/17,10/10/17,90,10/10/17,11/3/17,24,2/13/20,Unknown,1,1
7087,Yes,MA,CNA,7/13/17,8/2/17,20,8/6/17,10/1/17,56,5/22/20,Unknown,1,1
7100,Yes,MA,LPN,7/13/17,8/8/17,26,8/8/17,8/31/18,388,2/13/20,Unknown,12,1
7157,Yes,MA,CNA,7/14/17,9/28/17,76,9/30/17,10/12/17,12,11/22/20,Unknown,1,1
7173,Yes,MA,CNA,7/15/17,11/8/18,481,11/11/18,11/16/18,5,,Unknown,1,1
7174,Yes,MA,RN,7/15/17,7/27/17,12,7/28/17,8/20/17,23,11/22/20,Unknown,2,1
7222,Yes,MA,LPN,7/16/17,11/10/17,117,10/26/20,12/3/20,38,2/13/20,Unknown,1,1
7231,Yes,MA,CNA,7/16/17,7/20/17,4,7/22/17,8/20/17,29,,Unknown,4,1
7234,Yes,NH,RN,7/16/17,8/23/17,38,8/24/17,9/18/17,25,,Unknown,1,1
7282,Yes,MA,CNA,7/17/17,10/11/18,451,10/14/18,10/22/18,8,,Unknown,2,1
7302,Yes,MA,LPN,7/18/17,11/29/17,134,11/30/17,1/2/18,33,,Unknown,4,1
7368,Yes,MA,LPN,7/19/17,8/31/17,43,9/2/17,9/30/17,28,,Unknown,1,1
7372,Yes,MA,LPN,7/19/17,12/14/17,148,11/8/20,11/26/20,18,2/13/20,Unknown,10,1
7394,Yes,MA,LPN,7/20/17,12/22/17,155,12/24/17,11/30/19,706,,Unknown,2,1
7441,Yes,MA,CNA,7/21/17,7/31/17,10,8/2/17,8/8/17,6,,Unknown,4,1
7447,Yes,MA,RN,7/21/17,8/22/17,32,8/22/17,9/5/17,14,,Unknown,1,1
7454,Yes,MA,CNA,7/21/17,9/27/17,68,10/1/17,10/10/17,9,,Unknown,9,1
7467,Yes,MA,RN,7/22/17,6/3/20,1047,6/8/20,7/18/20,40,,Unknown,2,1
7552,Yes,MA,RN,7/25/17,8/12/17,18,8/13/17,12/25/17,134,,Unknown,0,1
7570,Yes,MA,CNA,7/25/17,8/1/17,7,8/6/17,8/21/17,15,11/22/20,Unknown,2,2
7619,Yes,MA,CNA,7/26/17,10/27/17,93,11/5/17,2/3/19,455,,Unknown,2,1
7667,Yes,MA,LPN,7/27/17,8/12/17,16,9/14/17,4/14/18,212,2/13/20,Unknown,9,1
7682,Yes,MA,CNA,7/28/17,8/4/17,7,8/6/17,8/14/17,8,11/22/20,Unknown,4,1
7713,Yes,MA,RN,7/29/17,12/22/17,146,9/21/19,10/21/19,30,,Unknown,4,3
7724,Yes,MA,LPN,7/29/17,8/1/17,3,8/4/17,8/11/17,7,,Unknown,4,2
7739,Yes,MA,LPN,7/29/17,10/14/17,77,10/14/17,12/21/17,68,,Unknown,2,1
7742,Yes,MA,LPN,7/29/17,10/17/17,80,10/21/17,11/13/17,23,,Unknown,16,3
7768,Yes,MA,CNA,7/30/17,11/19/17,112,12/10/17,12/24/17,14,,Unknown,4,2
7828,Yes,MA,CNA,8/1/17,9/1/17,31,9/3/17,10/29/17,56,,Unknown,4,1
7832,Yes,MA,CNA,8/1/17,10/11/17,71,1/12/19,8/18/19,218,5/22/20,Unknown,6,1
7876,Yes,MA,LPN,8/2/17,9/17/17,46,9/19/17,8/15/19,695,11/22/20,Unknown,7,1
7881,Yes,MA,CNA,8/2/17,8/31/17,29,9/3/17,9/15/17,12,,Unknown,2,1
7885,Yes,MA,CNA,8/2/17,2/15/19,562,2/17/19,3/2/19,13,,Unknown,7,2
7933,Yes,RI,CNA,8/3/17,4/10/18,250,4/14/18,4/21/18,7,,Unknown,2,1
7944,Yes,MA,CNA,8/3/17,8/13/17,10,8/15/17,9/18/17,34,,Unknown,29,2
7956,Yes,MA,LPN,8/3/17,11/5/17,94,11/14/17,12/7/17,23,2/13/20,Unknown,8,2
7961,Yes,MA,LPN,8/3/17,12/28/17,147,12/31/17,2/7/18,38,2/13/20,Unknown,2,1
7964,Yes,MA,CNA,8/3/17,9/14/17,42,10/1/17,10/13/17,12,,Unknown,3,1
7969,Yes,MA,CNA,8/3/17,8/13/17,10,8/20/17,10/6/18,412,1/30/20,Unknown,4,1
7985,Yes,MA,CNA,8/4/17,8/28/17,24,9/3/17,9/11/17,8,,Unknown,18,1
8009,Yes,MA,CNA,8/5/17,10/8/19,794,10/13/19,11/9/19,27,2/9/20,Unknown,2,1
8013,Yes,MA,CNA,8/5/17,8/10/18,370,8/15/18,8/26/18,11,,Unknown,2,2
8022,Yes,MA,CNA,8/5/17,8/10/17,5,8/10/17,8/25/17,15,2/13/20,Unknown,3,1
8087,Yes,RI,CNA,8/7/17,10/30/18,449,11/4/18,8/29/19,298,,Unknown,1,1
8146,Yes,MA,CNA,8/8/17,8/20/17,12,12/6/19,12/23/19,17,,Unknown,2,1
8204,Yes,MA,CNA,8/9/17,9/14/17,36,9/15/17,11/3/17,49,,Unknown,2,1
8212,Yes,MA,CNA,8/9/17,9/22/17,44,9/23/17,10/8/17,15,,Unknown,9,1
8256,Yes,MA,CNA,8/10/17,10/13/17,64,10/14/17,6/9/18,238,,Unknown,5,1
8266,Yes,RI,CNA,8/10/17,8/22/17,12,9/23/18,10/7/18,14,11/22/20,Unknown,7,1
8285,Yes,MA,RN,8/10/17,5/19/20,1013,5/23/20,6/6/20,14,,Unknown,2,1
8294,Yes,MA,LPN,8/11/17,4/15/19,612,5/12/19,6/10/19,29,,Unknown,12,2
8306,Yes,MA,LPN,8/11/17,8/17/17,6,8/17/17,8/23/17,6,,Unknown,2,1
8346,Yes,MA,CNA,8/12/17,2/1/20,903,2/10/20,2/18/20,8,,Unknown,7,2
8354,Yes,MA,CNA,8/12/17,8/18/17,6,10/1/17,10/9/17,8,11/22/20,Unknown,1,1
8381,Yes,MA,LPN,8/13/17,8/18/17,5,8/19/17,9/5/17,17,2/13/20,Unknown,5,2
8384,Yes,MA,CNA,8/13/17,8/18/17,5,8/20/17,8/28/17,8,,Unknown,1,1
8456,Yes,MA,CNA,8/15/17,8/21/17,6,8/22/17,9/24/17,33,,Unknown,16,3
8491,Yes,MA,CNA,8/15/17,9/29/17,45,10/1/17,10/7/17,6,,Unknown,8,1
8515,Yes,MA,LPN,8/16/17,9/10/17,25,9/11/17,9/17/17,6,,Unknown,2,1
8531,Yes,MA,CNA,8/16/17,10/16/20,1157,11/1/20,11/11/20,10,2/13/20,Unknown,2,1
8567,Yes,MA,LPN,8/17/17,1/15/18,151,1/16/18,1/23/18,7,2/13/20,Unknown,10,1
8570,Yes,MA,CNA,8/17/17,8/7/20,1086,8/12/20,8/23/20,11,,Unknown,3,3
8584,Yes,MA,CNA,8/18/17,10/23/17,66,10/28/17,1/6/18,70,,Unknown,0,1
8634,Yes,MA,RN,8/19/17,9/3/17,15,9/5/17,10/26/17,51,,Unknown,3,1
8647,Yes,MA,CNA,8/19/17,9/22/17,34,9/24/17,10/8/17,14,,Unknown,6,1
8729,Yes,MA,CNA,8/21/17,8/29/17,8,9/2/17,11/9/19,798,11/22/20,Unknown,5,1
8733,Yes,MA,CNA,8/21/17,9/3/19,743,9/9/19,9/15/19,6,,Unknown,4,2
8762,Yes,RI,CNA,8/22/17,11/26/19,826,12/24/19,1/6/20,13,,Unknown,3,2
8776,Yes,MA,CNA,8/22/17,7/24/20,1067,7/29/20,8/11/20,13,,Unknown,2,2
8795,Yes,MA,RN,8/22/17,10/3/17,42,10/5/17,10/14/17,9,11/22/20,Unknown,10,1
8802,Yes,MA,CNA,8/22/17,8/30/17,8,9/2/17,9/12/17,10,,Unknown,3,1
8816,Yes,MA,CNA,8/23/17,2/18/18,179,2/19/18,2/26/18,7,,Unknown,3,1
8827,Yes,MA,LPN,8/23/17,9/2/17,10,9/2/17,9/9/17,7,,Unknown,3,1
8842,Yes,MA,CNA,8/23/17,8/24/17,1,8/26/17,9/8/17,13,2/13/20,Unknown,1,1
8899,Yes,RI,CNA,8/24/17,8/28/18,369,9/7/18,10/1/18,24,,Unknown,3,1
8912,Yes,MA,LPN,8/25/17,9/6/17,12,9/7/17,9/19/17,12,,Unknown,1,1
8959,Yes,MA,CNA,8/26/17,6/5/19,648,6/7/19,6/20/19,13,9/8/20,Unknown,4,1
8975,Yes,RI,CNA,8/26/17,9/28/17,33,9/30/17,10/14/17,14,,Unknown,8,1
9012,Yes,MA,LPN,8/27/17,3/13/18,198,3/17/18,12/18/18,276,,Unknown,12,1
9020,Yes,MA,LPN,8/28/17,8/31/17,3,8/31/17,9/14/17,14,,Unknown,3,1
9023,Yes,MA,CNA,8/28/17,1/19/20,874,1/23/20,2/2/20,10,,Unknown,0,1
9166,Yes,NH,CNA,8/30/17,5/1/20,975,5/6/20,6/1/20,26,,Unknown,7,2
9175,Yes,MA,LPN,8/30/17,8/26/20,1092,9/4/20,9/11/20,7,,Unknown,5,1
9213,Yes,MA,CNA,8/31/17,9/16/19,746,9/21/19,10/13/19,22,,Unknown,2,1
9214,Yes,MA,LPN,8/31/17,9/11/17,11,9/11/17,9/17/17,6,,Unknown,1,1
9235,Yes,MA,RN,8/31/17,4/13/18,225,4/28/18,6/9/18,42,11/22/20,Unknown,3,1
9259,Yes,MA,RN,9/1/17,12/12/17,102,12/19/17,3/8/18,79,11/22/20,Unknown,6,1
9265,Yes,MA,LPN,9/1/17,9/8/17,7,9/8/17,10/22/17,44,,Unknown,18,2
9311,Yes,NH,LPN,9/2/17,9/9/17,7,9/10/17,8/21/19,710,5/22/20,Unknown,4,2
9319,Yes,MA,CNA,9/2/17,11/8/18,432,11/15/18,11/19/18,4,,Unknown,7,2
9352,Yes,MA,CNA,9/3/17,9/7/17,4,9/12/17,10/24/17,42,9/30/20,Unknown,1,1
9373,Yes,FL,RN,9/3/17,9/7/17,4,9/8/17,12/23/17,106,,Unknown,6,2
9462,Yes,MA,LPN,9/5/17,9/12/17,7,9/12/17,9/19/17,7,5/13/20,Unknown,4,1
9475,Yes,MA,RN,9/5/17,10/22/17,47,10/28/17,11/18/17,21,11/22/20,Unknown,1,1
9519,Yes,RI,RN,9/6/17,9/19/17,13,9/19/17,9/24/17,5,,Unknown,1,1
9547,Yes,MA,CNA,9/7/17,11/14/17,68,11/15/17,11/30/17,15,5/22/20,Unknown,10,2
9574,Yes,RI,LPN,9/7/17,10/27/17,50,10/31/17,1/16/19,442,,Unknown,3,1
9685,Yes,MA,CNA,9/9/17,11/23/19,805,11/24/19,12/14/19,20,,Unknown,0,1
9689,Yes,MA,CNA,9/9/17,9/26/17,17,9/29/17,3/13/19,530,,Unknown,5,1
9717,Yes,MA,CNA,9/9/17,3/5/18,177,3/12/18,4/8/18,27,,Unknown,15,2
9732,Yes,MA,CNA,9/9/17,7/16/20,1041,7/30/20,8/15/20,16,,Unknown,2,1
9742,Yes,MA,RN,9/10/17,8/5/20,1060,8/12/20,8/29/20,17,5/22/20,Unknown,1,1
9753,Yes,MA,LPN,9/10/17,9/30/17,20,10/1/17,11/9/17,39,,Unknown,3,1
9758,Yes,MA,LPN,9/10/17,10/30/17,50,11/10/17,12/9/18,394,,Unknown,10,1
9761,Yes,MA,CNA,9/10/17,11/7/17,58,11/11/17,11/20/17,9,,Unknown,4,3
9830,Yes,MA,RN,9/11/17,11/2/17,52,9/29/20,10/10/20,11,2/13/20,Unknown,1,1
9866,Yes,MA,LPN,9/12/17,11/10/17,59,11/11/17,11/23/17,12,2/13/20,Unknown,2,1
9874,Yes,MA,CNA,9/12/17,7/13/20,1035,7/19/20,8/25/20,37,,Unknown,2,1
9898,Yes,RI,LPN,9/12/17,10/12/17,30,10/14/17,10/28/17,14,,Unknown,1,1
9906,Yes,MA,CNA,9/12/17,9/30/17,18,9/11/20,9/17/20,6,2/13/20,Unknown,1,1
9964,Yes,PA,LPN,9/13/17,8/23/18,344,9/7/18,9/11/18,4,,Unknown,2,1
10018,Yes,MA,RN,9/14/17,2/10/18,149,2/12/18,7/21/18,159,,Unknown,11,1
10036,Yes,MA,CNA,9/14/17,9/22/17,8,9/23/17,1/20/18,119,,Unknown,2,1
10078,Yes,MA,LPN,9/14/17,9/29/17,15,10/1/17,10/30/17,29,2/13/20,Unknown,4,1
10108,Yes,MA,LPN,9/15/17,9/28/17,13,9/28/17,11/11/17,44,,Unknown,3,2
10116,Yes,MA,CNA,9/15/17,5/30/19,622,7/21/19,3/7/20,230,2/13/20,Unknown,5,1
10162,Yes,FL,RN,9/15/17,9/28/17,13,11/10/17,11/26/17,16,,Unknown,4,1
10184,Yes,MA,CNA,9/16/17,11/4/17,49,11/5/17,11/18/17,13,11/22/20,Unknown,4,1
10248,Yes,MA,CNA,9/17/17,1/21/20,856,1/26/20,2/15/20,20,,Unknown,2,1
10271,Yes,MA,CNA,9/17/17,3/22/19,551,3/31/19,7/27/19,118,,Unknown,4,1
10316,Yes,MA,CNA,9/18/17,11/17/17,60,11/19/17,12/31/17,42,,Unknown,15,1
10353,Yes,RI,CNA,9/19/17,10/20/17,31,10/22/17,11/2/17,11,,Unknown,5,1
10384,Yes,OH,LPN,9/19/17,9/21/17,2,9/24/17,12/10/17,77,2/13/20,Unknown,1,1
10425,Yes,MA,LPN,9/19/17,12/8/17,80,12/10/17,12/24/17,14,,Unknown,4,2
10467,Yes,MA,CNA,9/20/17,9/26/17,6,9/29/17,11/18/17,50,2/13/20,Unknown,4,2
10509,Yes,MA,RN,9/20/17,2/6/20,869,2/9/20,5/5/20,86,,Unknown,7,2
10525,Yes,NH,CNA,9/21/17,10/17/19,756,10/20/19,10/29/19,9,,Unknown,8,2
10597,Yes,MA,CNA,9/21/17,3/23/19,548,3/25/19,1/4/20,285,11/22/20,Unknown,1,1
10658,Yes,MA,LPN,9/22/17,12/30/17,99,12/31/17,7/5/18,186,,Unknown,1,1
10668,Yes,MA,LPN,9/23/17,12/27/17,95,12/28/17,1/7/18,10,,Unknown,3,1
10695,Yes,MA,CNA,9/23/17,1/25/18,124,2/5/19,2/12/19,7,,Unknown,9,1
10717,Yes,MA,CNA,9/24/17,10/3/17,9,10/4/17,10/13/17,9,,Unknown,7,1
10754,Yes,PA,CNA,9/24/17,6/27/18,276,7/13/18,8/20/18,38,2/21/20,Unknown,1,1
10772,Yes,PA,LPN,9/25/17,10/19/17,24,10/22/17,11/18/17,27,5/27/20,Unknown,13,1
10803,Yes,MA,CNA,9/25/17,11/19/17,55,11/26/17,12/7/17,11,11/22/20,Unknown,9,1
10864,Yes,MA,RN,9/26/17,1/23/18,119,7/9/18,7/17/18,8,2/13/20,Unknown,0,2
10923,Yes,MA,CNA,9/27/17,12/11/19,805,12/14/19,12/29/19,15,,Unknown,11,2
10942,Yes,MA,CNA,9/28/17,10/6/17,8,10/6/17,10/21/17,15,11/22/20,Unknown,0,1
10996,Yes,MA,CNA,9/28/17,10/4/17,6,10/8/17,11/18/17,41,11/22/20,Unknown,3,1
11027,Yes,PA,CNA,9/29/17,8/7/19,677,8/13/19,8/30/19,17,,Unknown,5,1
11045,Yes,RI,CNA,9/29/17,2/9/18,133,2/10/18,4/1/18,50,2/13/20,Unknown,6,1
11066,Yes,RI,RN,9/29/17,4/29/19,577,4/30/19,5/26/19,26,,Unknown,1,1
11095,Yes,PA,LPN,9/30/17,8/31/19,700,9/8/19,12/1/19,84,,Unknown,10,2
11105,Yes,RI,CNA,9/30/17,4/3/18,185,4/6/18,4/21/18,15,,Unknown,6,1
11168,Yes,MA,LPN,10/1/17,10/10/17,9,10/11/17,5/11/18,212,11/22/20,Unknown,1,1
11183,Yes,PA,CNA,10/2/17,10/23/17,21,10/24/17,11/3/17,10,2/13/20,Unknown,0,1
11200,Yes,MA,RN,10/2/17,11/24/19,783,11/29/19,12/23/19,24,11/22/20,Unknown,3,1
11219,Yes,MA,CNA,10/2/17,10/11/17,9,10/15/17,10/22/17,7,2/13/20,Unknown,17,1
11402,Yes,NH,LPN,10/4/17,8/27/18,327,8/28/18,9/2/18,5,,Unknown,2,1
11403,Yes,MA,LPN,10/4/17,10/19/17,15,10/20/17,10/29/17,9,,Unknown,5,1
11485,Yes,PA,CNA,10/5/17,10/15/18,375,10/20/18,5/6/19,198,,Unknown,1,1
11488,Yes,MA,LPN,10/5/17,10/16/17,11,10/17/17,11/16/17,30,,Unknown,11,1
11519,Yes,NH,RN,10/6/17,10/7/17,1,10/9/17,10/16/17,7,2/13/20,Unknown,3,2
11572,Yes,MA,LPN,10/7/17,6/25/18,261,6/30/18,10/10/18,102,,Unknown,2,1
11573,Yes,PA,LPN,10/7/17,10/10/17,3,11/12/20,11/25/20,13,2/13/20,Unknown,7,2
11610,Yes,MA,CNA,10/7/17,11/17/17,41,11/19/17,11/30/17,11,,Unknown,0,1
11698,Yes,RI,CNA,10/9/17,2/5/19,484,2/5/19,2/22/19,17,11/22/20,Unknown,3,2
11704,Yes,MA,RN,10/9/17,11/1/17,23,11/3/17,3/29/18,146,,Unknown,4,1
11707,Yes,PA,LPN,10/9/17,10/14/17,5,10/15/17,12/23/17,69,,Unknown,8,1
11770,Yes,MA,LPN,10/10/17,3/17/20,889,3/22/20,6/5/20,75,,Unknown,8,1
11789,Yes,PA,LPN,10/10/17,1/20/18,102,1/22/18,2/7/18,16,,Unknown,4,1
11792,Yes,MA,CNA,10/10/17,10/13/17,3,10/15/17,11/8/17,24,11/22/20,Unknown,0,1
11798,Yes,PA,LPN,10/10/17,10/19/17,9,10/20/17,10/25/17,5,2/13/20,Unknown,3,2
11842,Yes,RI,RN,10/11/17,10/11/17,0,10/20/17,2/4/18,107,,Unknown,4,1
11868,Yes,RI,RN,10/11/17,12/17/18,432,12/21/18,7/6/19,197,,Unknown,4,2
11871,Yes,MA,LPN,10/11/17,2/11/20,853,2/15/20,2/24/20,9,,Unknown,9,2
11905,Yes,MA,CNA,10/12/17,3/26/19,530,4/7/19,4/20/19,13,11/22/20,Unknown,4,1
11948,Yes,MA,RN,10/12/17,1/17/18,97,1/24/18,2/5/18,12,,Unknown,2,1
11951,Yes,MA,CNA,10/13/17,11/13/17,31,11/23/17,12/31/17,38,,Unknown,7,1
12008,Yes,PA,LPN,10/14/17,10/23/17,9,10/30/17,11/14/17,15,,Unknown,0,1
12094,Yes,MA,LPN,10/16/17,11/16/17,31,11/19/17,11/28/17,9,,Unknown,3,1
12122,Yes,PA,LPN,10/16/17,11/15/17,30,11/20/17,1/4/18,45,,Unknown,10,2
12139,Yes,PA,LPN,10/16/17,10/20/17,4,10/23/17,11/9/17,17,2/13/20,Unknown,12,1
12227,Yes,MA,CNA,10/17/17,10/26/17,9,10/28/17,11/5/17,8,,Unknown,5,1
